Descrição,Not. autor
"Allano, Mylène",
"Allard, Alexandre, 1968-",A419
"Allard, Sebastien",C822
"Allderidge, Patricia",
"Allegretti, José Raul",A422
"Allegretti, Umberto",BL453a
"Allegri, Danilo",
"Allemand, Genevieve",
"Allemand, Hector, 1809-1886",
"Allen Jr, James E.",
"Allen, Becky",
"Allen, Brian",
"Allen, Charles Dexter",A425a
"Allen, Denise",
"Allen, Fernando",
"Allen, John Fisk, 1785-1865",
"Allen, Jules",
"Allen, Leslie, 1954-",
"Allen, Robert",
"Allen, Robert E.",
"Allen, Terry, 1943-",A431
"Allende, Salvador G",
"Allende-Blin, Juan",
"Alley, Ronald",G269ar
"Alleyne, Willie",
"Allgardh, Sophie",
"Allgrove, Joan",
"Allianz, Zurique",
"Alliata, Danilo",
"Allier, Delphine",
"Allievi, Fernando, 1954-",
"Alliney, G.",
"Allison, David",
"Allitt, John",
"Allodoli, Ettore",
"Allora, Jennifer, 1974-",
"Allori, Alessandro, 1535-1607",A441
"Allori, Cristofano, 1577-1621",A441
"Allouche, Dove, 1972-",
"Alloway, Lawrence",
"Allsten, Per-Anders",
"Allston, Washington, 1779-1843",
"Allthorpe-Guyton, Marjorie",
"Allvé, Pilar",
"Allyn, Nancy e",A443i
"Almada Negreiros, José de, 1893-1970",
"Almada, Adriana",A444c
"Almada, Conrado",
"Almada, João de",
"Almada, Márcia",
"Almagiá, Roberto",O61a
"Al-Malhi, Jawad, 1969-",
"Almandrade, 1953-",A445
Almandre,
"Almaraz, Carlos, 1941-1989",
"Almarcegui, Lara, 1972-",
"Almarén, Jan",
"Almassy, Peter, 1938-",
"Alma-Tadema, Lawrence, 1836-1912",
"Almeida Filho, Fábio de, 1958-",Af447
"Almeida Furtado, José de, 1778-1831",
"Almeida Júnior, 1850-1899",Aj447
"Almeida, Alex",
"Almeida, Alexandra Nakano de",
"Almeida, Alfredo Souto de",
"Almeida, Angela",
"Almeida, Antônio Augusto",
"Almeida, Antônio Joaquim de",
"Almeida, Armando, 1939-2013",Ai447
"Almeida, Belmiro de, 1858-1935",Ab447
"Almeida, Bernardo Pinto de",
"Almeida, Caetano de, 1964-",Ac447
"Almeida, Cândida",
"Almeida, Carmen de",
"Almeida, Carol",
"Almeida, Celso Pereira de",
"Almeida, Charters de, 1935-",A447
"Almeida, Christina Torres de",
"Almeida, Cícero Antônio F. de",
"Almeida, Cirineu de, 1941-",
"Almeida, Cyro, 1984-",
"Almeida, Daniel",
"Almeida, David de, 1945-",Ad447
"Almeida, Denise de",
"Almeida, Edmar José de, 1944-",A447
"Almeida, Eduardo de, 1933-",
"Almeida, Efrain, 1964-",
"Almeida, Elcyo de",
"Almeida, Elvira de, 1945-",Ae498
"Almeida, Facundo de",
"Almeida, Fernando-Cesário de",
"Almeida, Flávio Pinho de",
"Almeida, Francisco de, 1962-",
