Descrição,Not. autor
"Macedo, Dimas, 1928-",M141
"Macedo, Diogo de",C726m
"Macedo, Erika Sabino de",
"Macedo, Fátima",
"Macedo, Hugo",
"Macedo, José Marcos",
"Macedo, Luis Ortiz",
"Macedo, Rafael Greca de",
"Macedo, Roberto",
"Macedo, Ronaldo do Rego",
"Macedo, Ronaldo Rego",M141a
"Macedo, Sérgio, 1951-",M141
"Macedo, Udine Tausz de",
"Macedo,Ronaldo do Rego",
"Macel, Christine",
"Macey, David",
"Macfadden, David Revere",
"Macfall, Haldane",B368m
"MacGill, Peter",
"Macgreevy, Thomas",
"Macgregor, Arthur",
"Macgregor, Neil",
"Macgregor, Neill, 1946-",
"Mach, David, 1956-",M149
"Machado Neto, Afonso Celso",
"Machado, Adauto, 1950-",Ma149
"Machado, Almires Martins",
"Machado, Alvaro",
"Machado, Ana Méri Zavadil",
"Machado, Angelo",
"Machado, Aníbal",
"Machado, Anibal M",G595m
"Machado, Antônio Alcântara, 1901-1935",
"Machado, Arlindo, 1949-",
"Machado, Arnaldo",
"Machado, Aureliano",
"Machado, Betúlia",
"Machado, Cacá",
"Machado, Caio, 1977-",
"Machado, Carlos Eduardo Jordão",M149c
"Machado, Cleber, 1937-",Mc149
"Machado, Clotilde de Carvalho",C331b
"Machado, Domício",
"Machado, Duda",
"Machado, Edson",
"Machado, Faride Germano",
"Machado, Fernando",
"Machado, Francisco Alvares",
"Machado, Franklin de Cerqueira, 1943-",
"Machado, Gabriela, 1960-",Mg149
"Machado, Geraldo",
"Machado, Gerson",M149a
"Machado, Iaci",
"Machado, Ilara, 1922-",
"Machado, Ivan G. Pinheiro",
"Machado, Ivan Pinheiro, 1951-",Mi149
"Machado, Ivens, 1942-2015",
"Machado, João",Mjo149
"Machado, João L. Saavedra",
"Machado, João, 1942-",
"Machado, José Carlos, 1950-",
"Machado, José de Paula",
"Machado, Juarez, 1941-",Mj149
"Machado, Jurema de Sousa",Mj149
"Machado, Lincon",
"Machado, Loris",M149
"Machado, Lourival Gomes, 1917-1967",M149
"Machado, Luciano",
"Machado, Lúcio Gomes",
"Machado, Luiz Raul",
"Machado, Maira Costa",
"Machado, Maria Helena P. T",
"Machado, Maria Lucia",
"Machado, Mário Brockmann",
"Machado, Mauro, 1954-",
"Machado, Milton, 1947-",
"Machado, Octavio Luis Werneck",
"Machado, Paulo Ramos",
"Machado, Paulo Rogério Pinheiro",
"Machado, Regina",
"Machado, Reinaldo Guedes",
"Machado, Silvia",
"Machado, Tiago Mata, 1973-",M149
"Machado, Ubiratan",Mu149
"Machado, Vilma Rabelo, 1930-",
"Machado, Vladimir, 1951-",Mv149
"Machado, Wilfredo",
"Machain, Marina",
"Machard, Jules Louis, 1839-1900",
"Machenhauer, Jan, 1954-",
"Machete, Rui Chancerelle de",
"Machida, Koichi",M149s
"Machiel, Patrícia Menezes",
"Machotka, Pavel",C425mp
"Macht, Carol",
"Machuca, Guilhermo",
"Machuca, Guillermo",
"Macià, Oswaldo, 1960-",
"Macieira, Gil Gouvêa",
"Macieira, Josiane Cotrim",
"Macieira, Ricardo",
"Maciejewski, Wieslaw",
"Maciejunes, Nannette V.",
"Maciel Filho, Nelson",
"Maciel, Adriana",Ma152e
"Maciel, Ana Carolina de Moura Delfim",M152y
"Maciel, Antônio Carlos, 1943-",M152
"Maciel, Cassio Leme, 1903-",M152
"Maciel, Gabriela, 1977-",
"Maciel, Julia",
"Maciel, Katia, 1963-",
"Maciel, Marco",
"Maciel, Mario",
"Maciel, Salvine",
"Maciness, Kenneth",
"Macinnes, Kenneth",
"Maçip, Vicente, 1475-1550",
"Maciver, David Randall",M125v
"Maciver, Loren, 1909-1998",
"Mack, Christopher",
"Mack, Heinz, 1931-",M153
"Macke, August, 1887-1914",
"Macken, Mark, 1913-1977",M155
"Mackensen, Fritz, 1866-1953",
"Mackenzie, Jack",
"Mackertich, Peter",
"Mackertich, Tony",M157f
"Mackintosh, Charles Rennie, 1868-1928",M158
"Macklin, Alys Eyre",G836m
"Macklin, Courtney",
"Mackmurdo, Arthur Heygate, 1851-1942",
"Maclagan, Eric",
"Maclaren, Neil",M113s
"Maclean, Howard Rodger",
"Macleay, Kenneth, 1802-1878",
"Macleish, William H.",
"Macleod, Alex",
"MacLeod, Martha",
"Maclntyre, C.F.",
"Maclurg, Alastair",
"Macnaughton, Mary Davis",
"Macomber, Gordon",
"Macquoid, Percy",M173h
"Macrae, Sandie",
"Macri, Sandra",
"Macrino, D'alba, 1470?-1528?",
"Macritchie, Lynn",
"MacRobert, Melissa",
"Macsanyi, Paul",
"Maculan, Fernando, 1974-",M175
Madanjeet Singh,
"Madaus, Susanne",
"Madden, Ed",M179t
"Maddock, Raymond",
"Maddos, Jerald C.",
"Maddox, Conroy, 1912-",
"Madeira, Angélica",
"Madeira, Fernando",
"Madeira, Maria Angelica",
"Madeline, Laurence",M178w
"Mader, Anais",
"Maderno, Stefano, 1576-?",
"Maderuelo, Javier",
"Madigan, Martha, 1950-",
"Madigan, Richard",
"Madigan, Richard A.",
"Madinier, Louise",
"Madlener, Jana",
"Mado, 1955-",
"Madonna, 1958-",
"Madra, Beral",
"Madrid Jaime, Miguel Alfonso",
"Madrid Sánchez, Silvia",
"Madruga, Alex, 1917-",
"Madruga, Vilmar",
"Madsen, Karl",
"Madsen, Stephan Tschudi",M183s
"Madureira Filho, J.B.",
"Madureira Filho, Joaquim, 1908-1970",
"Madureira, 1903-1976",
"Madureira, Antonio José",
"Madureira, Marcos",
"Madureira, Miriam M.S.",
"Madureira, Renato, 1959-",
"Maduro, Otto, 1945-2013",
"Mady, Charles",
"Mãe, Valter Hugo",
"Maeda, Josaku, 1926-2007",Mj184
"Maeda, Sarah",
"Maeder, Karl, 1891-1966",
"Maeght, Aimé",
"Maeijer, Edward A. de",M184w
"Maekawa, Tsuyoshi, 1936-",
"Maekelae, Jukka, 1949-",
"Maek-Gérard, Michael",
"Maella, Mariano Salvador de, 1739-1819",
"Maerten, Van Heemskerck, 1498-1574",M185
"Maertens, Hugo",
"Maerz, Roland",
"Maes, Jacques, 1905-1968",
"Maes, Nicolaes, 1634-1693",
"Maesen, Albert",
"Maestro dei dodici Apostoli, 1520-1575",Ma186
Maestro del 1416,
"Maestro Dell'osservanza, Séc. 15",
"Maestro Di Figline, Séc. 13/14",
"Maestro di San Martino alla Palma, 1325-1350",S196
"Maeterlinck, Maurice, 1862-1849",
"Maetzke, Anna Maria",MC986m
"Maeyama, Yuji",
"Maeyer, Charles de",H241m
"Maeyer, Edward A. de",M184w
"Maeyer, Marcel, 1920-",Mm186
"Maezawa, Tomoko, 1972-",
"Mafai, Mario, 1902-1965",M187
Mafalda,
"Mafaltti, Anita, 1889-1964",
Maffei,
"Maffei, Francesco Scipione, Marquês, 1675-1755",
"Maffei, Francesco, 1605?-1660",
"Maffei, Giorgio",
"Maffei, Marcos",
"Maffesoli, Michel",M187r
"Maffi, Bruno",
"Mafille, Michele",
"Mafra, Rodrigo",
"Magagnato, Licisco",
"Magaldi, Marcos, 1950-",M188
"Magaldi, Sábato",M188c
"Magalhães, Aline Monteiro",
"Magalhães, Aline Montenegro",
"Magalhães, Aloísio, 1927-1982",Ma188
"Magalhães, Ana",
"Magalhães, Ana Gonçalves",M742ma
"Magalhães, Andréa",
"Magalhães, Angela",
"Magalhães, Anna Claudia",
"Magalhães, Anna Luiza Petrik, 1944-",
"Magalhães, Antonio Carlos",
"Magalhães, Basílio de",
"Magalhães, Camillo Calazans de",
"Magalhães, Carlos Fernando Filgueiras de",
"Magalhães, Carlos Wendel de",
"Magalhães, Fábio, 1942-",M189
"Magalhães, Fábio, 1982-",M189
"Magalhães, Fernanda, 1962-",
"Magalhães, Francisco, 1962-",
"Magalhães, Gastão de, 1953-",M189
"Magalhães, Geraldo",
"Magalhães, Gisela",
"Magalhães, Gustavo, 1977-",
"Magalhães, Herbert",
"Magalhães, João, 1949-",Mj188
"Magalhães, Joaquim Romero",
"Magalhães, Juliana Giacomini",
"Magalhães, Liliana",
"Magalhães, Lucas, 1982-",M189
"Magalhães, Luiz Edmundo de",
"Magalhães, Marcelo",
"Magalhães, Marcos",
"Magalhães, Maria Helena, 1962-",Mm188
"Magalhães, Naiana",
"Magalhães, Paulo",
"Magalhães, Paulo Cézar Simões",
"Magalhães, Rachel de Almeida",
"Magalhães, Raquel, 1990-",Mr188
"Magalhães, Roberto",M188
"Magalhães, Roberto Carvalho",
"Magalhães, Roberto Carvalho de",M188i
"Magalhães, Roberto, 1940-",
"Magalhães, Rosa, 1947-",MAG188
"Magalhães, Sérgio, 1944-",
"Magalhães, Susy",
"Magalhães, Terezinha Vilella de",
"Magano, Carlos, 1921-1983",Mc188
"Magano, Patricia",
"Magaz, Maria Del Carmen",
"Magee, Alan, 1979-",
"Mager, Sandra",
"Maggi, Andréa Cristina",
"Maggi, Emilio",M193c
"Maggi, Giuseppe",
"Maggi, Marco, 1957-",
"Maggi, Moreno",
"Maggio, Nelson Di",
"Maggiolini, Luigi",
"Maggiorotti, Leone Andrea",O61mL
"Magi, Giovanna",
"Maginis, Hayden B.-J",
"Magirius, Friedrich",
"Magistretti, Vico, 1920-2006",
"Magland, Louis",
"Magliani, Maria Lídia dos Santos, 1946-2012",M195
"Magliano, Lydia",
"Magnaghi, Ambrogio, 1912-2001",
"Magnaguagno, Guido",
"Magnani, Cristoforo, 1545-1580",
"Magnani, Gregorio",
"Magnani, Jose Guilherme C.",
"Magnani, José Guilherme Cantor",
"Magnani, Luis Antonio",
"Magnani, Sergio",M196e
"Magnanini, Alceo",
"Magnasco, Alessandro, 1667-1749",Ma196
"Magne, Henri-Marcel",M196a
"Magne, Jacqueline",
"Magne, Jaqueline",
"Magne, Osvaldo Fausto Giordano",
"Magnelli, Alberto, 1888-1971",M196
"Magnelli, Sandro, 1942-1982",
"Magnet, Alberto",
"Magni, Giulio, 1859-1930",
"Magnin, André",
"Magno, Luciana, 1987-",Ml198
"Magno, Luciano",M198h
"Magno, Montez, 1934-",M198
"Magno, Paschoal Carlos, 1906-1980",
"Magnoli, Demétrio",M198c
Magnólia Costa,
"Magnoni, Isabella",
"Magnus, Dieter, 1937-",M199
"Magnussen, Erik, 1940-2014",M199
"Magnússon, Tumi, 1957-",
"Magossi, Eduardo",
"Magrin, Alberto",
"Magrini, Alberto",M212g
"Magrini, César",
"Magrini, Giorgio",
"Magrini, Liliana",
"Magrini, Marco, 1945-",
"Magrini, Maria Attardo",
"Magrini, Nicola",
"Magrini, Pietro",
"Magritte, René, 1898-1967",M212
"Magro, B.",
"Magubane, Peter, 1932-",M213
"Maguetas, Washington, 1942-",Mw213
"Maguid, Rosalia",
"Maguire, Henry",M213r
"Mahama, Ibrahim, 1987-",Mi214
"Maharaj, Sarat",
"Maheu, Jean",
"Maheux, Anne",
"Mahfuz, Edson",
"Mahfuz, Edson da Cunha, 1953-",
"Mahl, Andréas, 1948-",
"Mahlangu, Esther, 1935-",
"Mahler, Anna, 1904-1988",M214
"Mahler, Charles Henry",
"Mahler, Miriam",
"Mahlow, Dietrich",
"Mahn, Eva",
"Mahon, Alyce",
"Mahon, Denis",
"Mahoney, J.W",
Mahonri Sharp Young,
"Mahood, Ruth I.",
"Mai, Ekkehard",
Maia,
"Maia, Ana Maria",
"Maia, Antonio, 1928-2008",
"Maia, Belmiro de Lyra",
"Maia, César",
"Maia, Dedé",
"Maia, Éolo, 1942-",
"Maia, Francisco Prestes",
"Maia, Irene",
"Maia, Luciano",
"Maia, Marco",
"Maia, Maria Celeste Bentley, 1941-",Mc217
"Maia, Murilo, 1978-",
"Maia, Pedro",Mp217
"Maia, Pedro Moacir",
"Maia, Pedro Silva, 1962-",
"Maia, Prestes, 1896-1965",
"Maia, Roberto, 1910-1962",
"Maia, Rui",
"Maia, Tom",
"Maia, Vasconcelos",
"Maiakovsky, Vladimir, 1893-1930",
"Maier, Tobi",
"Maier, Troy",
Mailin Milanes,
"Maillard, Robert",
"Maillet, Louis",
"Maillol, Aristide, 1861-1944",M221
"Mailloux, J. Wayne",
"Mainberger, Sabine",
"Mainbourg, J.",
"Maindron, Etienne Hippolyte, 1801-1884",
"Mainga, Mutumba",
"Maingnon, Claire",M225s
"Maingon, Claire, 1980-",
"Maini, Eugenia",
"Mainieri, Milena",
"Maino, Angelo",
"Mainssieux, Lucien, 1885-1958",
"Maio, Cesar Viola, 1958-",Mc227
"Maio, D. de",
"Maiolino, Anna Maria, 1942-",M277
"Maior, Ana Beatriz Viana Souto",
"Maior, Mário Souto",
"Maiorana, Lucidéa",
"Maiorana, Roberta",
"Mairesse, François",
"Mairet, Alexandre, 1880-1947",M228
"Maison, K. e",
"Maisonneuve, André",
"Maitin, SAM, 1928-2004",M232
"Maitre, Henri",
"Maiuri, Amedeo",
"Maizeroy, René",
Maja Oeri,
"Majerus, Michel, 1967-2002",M233
"Majetta, Valentino",
"Majewska-Maszkowska, Bozenna",
"Majima, Koj",
"Majluf, Natalia",
"Majoli, Alex, 1971-",
"Major, Kamill, 1948-",M234
"Majorel, Denise",
"Majorelle, Louis, 1859-1926",
"Majorick, B.",
"Majumder, Manasij",B575m
"Mak, Yee-Fun, 1949-",
"Makar, Vlado, 1946-",
"Makarinus, Joerg",
"Makart, Hans, 1840-1884",
"Makela, Jukka, 1949-",
"Makela, Marika, 1947-",
"Makholm, Kristin",M235p
"Maki, Robert, 1938-",Mr235
"Makimoto, Helena",M235
"Makinson, Randell L.",
"Mäkipää, Tea, 1973-",
"Makiura, Tomoko",
Makoto Nakamura,
"Makoto, Habu",
"Makowiecky, Sandra",
"Makowski, Konstantin, 1839-1915",
"Makowski, Marina, 1956-",
"Makowski, Wladimir, 1846-1920",
"Makowski, Zbigniew, 1930-",Mz235
"Makray, Almos",
"Maksimishin, Serguei",Ma235u
"Maksoud, Claudio, 1956-",Ms235
"Maksoud, Ilde B.",M235
"Makwiecky, Sandra",
"Malabotti, Marina, 1947-1988",
"Malacarne, Vincenzo, 1744-1816",
"Malagola, Carlo",M236m
"Malagoli, Ado, 1906-1994",
"Malagoli, Aldo",
"Malagoli, Elisabetta",
"Malagon, Guerrero",E41mg
"Malagutti, Enos, 1913-1994",Me236
"Malaguzzi, F.",
"Malaguzzi, Silvia",D554m
"Malaisy, Lucien",
"Máláj, Bar Kojba",
Malak,
"Malamud, Anita",
"Malamud, Bernard",M236r
"Malamud, Samuel, 1908-2000",
"Malangatana, 1936-2011",M237
"Malani, Nalini, 1946-",
"Malaparte, Curzio, 1898-1957",
"Malatesta, Enzio",M239a
"Malatesta, Sigismondo Pandolfo, 1417-1468",
"Malaval, Robert, 1937-1980",M239
"Malavich, Kasimir, 1878-1935",
"Malavoglia, Fábio",
"Malbergier, Sérgio",
"Malbos, Françoise",
"Malcewa, A.A.",
"Malcher, José da Gama",
Malcolm C. Salaman,
"Malcolmson, Reginald, 1912-1992",Mr243
Malcom Green,
Malcon Varon,
"Malczewsky, Jacek, 1854-1929",M243
"Malden, John",H517m
"Maldonado, Fernando",
"Maldonado, Guitemie",
"Maldonado, Sérgio",
"Maldonado, Sigrid",
"Maldonado, Tomás, 1922-",I61
"Malejovský, Josef, 1914-2003",M245
"Maler, Teodoro",
"Malerba, Luigi, 1888-",
"Malet, Rosa Maria",M676m
"Malevich, Kasimir, 1878-1935",M248
"Malfait, Hubert, 1898-1971",
"Malfait, N.",
"Malfait, Nadine",
"Malfatti, Anita, 1889-1964",Ma248
"Malfatti, Cesare, 1550?-",
"Malfoy, Jean-Michel",
"Malhado, Maxim, 1967-",
"Malhano, Hamilton Botelho",
"Malhoa, José, 1855-1933",M249
"Malik, Suhail",
"Malin, Edward",
"Malina, Frank Joseph, 1912-1981",M251
"Malinsky, Rogério",
"Malinverno, Mario",
"Malisz, Boleslaw",M251p
"Malkiel - Jirmounsky, Myron",M251p
"Mallaart, Paul",
"Mallalieu, Huon",
"Mallander, J. O.",
"Mallarmé, Stéphane, 1842-1898",M252
"Mallé, Luigi",
"Mallerin, Claude",
"Mallet-Stevens, Robert, 1886-1945",
"Mallett, Marla",M347w
"Mallmann, Mathias",
"Mallo, Maruja, 1902-1995",
"Malmanger, Magne",
"Malmedal, Arne",
"Malombra, Pietro, 1556-1618",
"Maloon, Terence",
"Malosetti Costa, Laura, 1956-",
Malou Hojer,
Malou Von Muralt,
"Malow, Dietrich",
"Maloy, Kate",
"Maloy, Michael",
"Malpas, James",M259r
"Malpeli, B.",
"Malraux, A.",
"Malraux, André",
"Malta, André",
"Malta, Antonio, 1961-",ML261
"Malta, Aristógiton",
"Malta, Augusto, 1864-1957",
"Malta, Eduardo, 1900-1967",
"Malta, Julia",
"Malta, Luiz Roberto Schrage Seabra",
"Malta, Ricardo, 1956-",M261
"Malta, Uriel",
"Maltese, Corrado",Mf386m
"Maltese, Giuseppe",
"Maltese, Henrique",
"Malton, James, 1761-1803",
"Maluba, 1942-",
"Maluco, Capadócio",M261
"Maluf, Antônio, 1926-2005",M261
"Maluf, Paulo",
"Maluf, Paulo Salim, 1931-",
"Maluf, Roberto",
"Maluhy, Paulo, 1949-",Mp261
"Malulla, Waheeda, 1978-",
"Maluquer, Elvira",
"Malva, Daniel",
"Malvasia, Carlo Cesare, Conde, 1616-1693",
Malvina Gelleni,
"Malycha, Christian, 1978-",M262
"Malysse, Stéphane",
"Malzone, Cecília",
"Malzoni, Augusto Livio",
"Malzoni, Isabel",
"Malzoni, Julie",
"Malzyner, Mirian",
"Mamberti, Sérgio",
"Mambour, Auguste, 1896-1968",
"Mambrini, Ester",
"Mamen, François",
"Mami, Kataoka",
"Mami, Yoshida",
"Mammen, Jeanne, 1890-1976",
"Mammi, Lorenzo, 1957-",
"Mamnitzer, Luís",
Mamoru Yonekura,
"Mamprin, Luigi, 1921-1995",M265
"Man Ray, 1890-1976",R264
"Man, John",
"Mana Marqués, Manuela B",
Manabu Takechi,
"Manai, Jean-Marc",
"Manai, Piero, 1951-",M266
"Manara, Milo, 1945-",
"Manarini, Ademar, 1920-1989",M267
"Manata, Franz",
"Manca, Giovanni, 1889-1984",
"Manca, Joseph",
"Mancebo, Julio, 1933-",Mj268
"Manchevski, Milcho, 1959-",
Manchuria,
"Mancia, Mauro",
"Mancini, Antonio, 1852-1930",M269
"Mancini, Carlos",
"Mancini, Francesco Federico",
"Mancini, Michele",
"Mancini, Paulo, 1961-",
"Mancini, Regiane",
"Mancini, Renzo",
"Mancoba, Sonja Ferlov, 1911-",Ms269
"Mancuso, Carlos Antonio",
"Mancuso, Domingos, 1885-1942",
"Mancuso, Umberto",M629r
"Mandach, Conrade de",
"Mandel, Alan",
"Mandel, Gabriele, 1924-2010",M271
"Mander, Karel Van, 1548-1606",
"Manders, Mark, 1968-",
"Mandeville, Bernard, 1921-2000",M272
"Mandiargues, André Pieyre de",
"Mandl, Hans",
"Mandle, R.",
"Mandle, Roger",
"Mandler, Roger",
"Mandredi, Eustachio, 1674-1739",
"Mandrelli, Doriana o",
"Mané-Katz, 1894-1962",M274
"Manente, Carla",
"Manenti, Angelo",
"Manenti, Angelo R.",
"Manenti, Angelo R. Manenti",
"Manenti, Clemente",M274b
"Manera, Roberto",
"Manes, Cara",
"Maneschy, Orlando",
"Manessier, Alfred, 1911-1993",Ma274
"Manet, Edouard, 1832-1883",M275
"Manet, Julie, 1878-1966",MJ275
"Manetti, Rutílio, 1571-1639",
"Manfred Pfleger, Helge Karsten Reimelt",
"Manfredi, Bartolomeo, 1580-1620",
"Manfredini, Maria de Fátima Ramia",
"Manfrin, Cristina, 1953-",
"Manfroni, Camillo",O61mc
"Mang, Karl",
"Manga, Lucio",
"Mangaba, Jessica, 1988-",
"Manganel, Ernest",
"Manganelli, Elton, 1948-",
"Manganelli, Giorgio",
"Mange, Ernest Robert de Carvalho, 1922-",
"Mange, Marilyn Diggs, 1951-",Ma986
"Mang-Frimmel, Eva",
"Manghetti, Gloria",B619r
"Mangiarotti, Angelo, 1921-2012",
"Mangiavacchi, Adriano",
"Manglano-Ovalle, Iñigo, 1961-",
"Mango, Lorenzo",
"Mangold, Robert, 1937-",M277
"Mangold, Sylvia Plimack, 1938-",Ms277
"Mangravite, Peppino, 1896-1978",
"Manguin, Henri Charles, 1874-1949",
"Manhães, Mariana, 1977-",
"Maniacco, Tito",
"Maniago, Fabio, Conde, 1774-1842",
"Manic, Gordana, 1973-",Mg278
"Manieri-Elia, Mario",M278a
Maninha,
"Maniscalco, Antonio",
"Manjabosco, Ângelo, 1984-",
"Manley, Marianne V",
Manlio Cancogni,
"Mann, Carol",M692m
"Mann, J. G.",
"Mann, Judith",
"Mann, Julia, 1851-1923",
"Mann, Margery",
"Mann, MAX Von",
"Mann, Stephan",
"Mann, Susan Archer",M282d
"Mann, Thomas",
"Mannaerts, Pascal, 1978-",M281
"Manner, Lisa D., 1979-",ML282
"Mannering, Douglas",R385md
"Manni, Domenico Maria, 1690-1788",
"Manning, Miles",
"Manning, Richard",
"Manning, Samuel, 1822-1881",M284
"Mannini, Giorgio",
"Mannoni, Edith",
"Mannoni, Gérard",M285g
"Mannor, Margalit, 1940-",M285
"Mannozzi, Giovanni, 1592-1636",
"Mannucci, Edgardo",Me285
"Mano, Rubens, 1960-",
"Manoel, Felismar, 1939-",M285
"Manoel, Pedro",
"Manoeuvre, Laurent",
"Manolo, 1872-1945",Mn285
"Manolopoulou, Yeoryia",M285a
"Manos, Constantine, 1934-",
"Manouach, Ilan, 1980-",
"Manovich, Lev",
"Manrique, César, 1919-1992",
"Manrique, Jorge Alberto",
"Mansard, Luisa F. Rico",
"Mansart, Jules Hardouin, 1646-1708",
"Mansbach, Steven a",M286m
"Mansfeld, Heinz",K81m
"Manship, Paul, 1885-1966",M287
"Manske, Hans-Joachim",
"Manso, Bruno Paes",
"Manso, José Patrício da Silva, 1753-1801",M289
"Mansour, Sliman, 1947-",
"Mansuelli, Guido A.",
"Mansur, Daniel",
"Mansur, Gilberto",
"Mansur, João",
"Mansur, Monica, 1956-",
"Mantegazza, Paulo",M291m
"Mantegna, Andrea, 1431-1506",Ma291
"Mantelli, Elena",
"Mantelli, Emilio, 1884-1918",
"Mantero, Enrico",
"Manterola, Pedro",
"Manteuffel, Claus Zoege Von",
"Manteuffel, Hans Von",
"Manthorne, Katherine",
"Manthorne, Katherine e",
"Mantie, Eugene",
"Mantilla, Gilda, 1967-",
"Mantoan, Silvia",
"Mantovani, Giselle",
"Mantovani, Jussara",
"Mantovani, Lucila",
"Mantovani, Rafael",
"Mântua, Ana Anjos",
"Mantura, Bruno",
"Mantz, Werner, 1901-1983",
Manuel da Costa Pinto,
Manuel Herandez Serrano,
Manuel Moreno Fraginals,
Manuel Mujica Lainez,
"Manuel, Antonio, 1947-",M294
"Manuel, Pedro",
Manuela Abreu e Lima,
"Manuela B. Mena Marquês, Werner Hofmann, Juliet Wilson-Bareau",
"Manuel-Deutsch, Niklaus, 1484-1530",
"Manuel-Gismondi, Pedro, 1925-1999",M294
"Manuzio, Aldo, 1450?-1515",
"Manuzio, Paolo, 1512-1574",
"Manvati, Manlio, 1932-",
"Manyé, Pablo",M295
"Manz, Bodil, 1943-",
"Manz, Richard, 1933-1999",
"Manzano Martos, Alberto",
"Manzato, Eugenio",
"Manzella, Myriam",
"Manzella-Frontini, Gesualdo, 1885-1965",
"Manzi, Ariadne Giacomazzi Maltei",
"Manzi, Guglielmo",
"Manzi, Pietro, 1785-1839",
"Manzini, Gianna",
"Manzitti, Camillo",M296a
"Manzo, Henrique, 1896-1982",
"Manzon, Jean, 1915-1990",M296
"Manzoni, Carlo",
"Manzoni, Francis Márcio Alves",
"Manzoni, J. Manzoni",
"Manzoni, Piero, 1933-1963",Mp296
"Manzotti, Roberto",
"Manzù, Giacomo, 1908-1991",Mg296
"Manzù, Pio, 1939-1969",
"Manzzoni, Angiolo, 1894-1979",
MAO ([Marcelo Ruiz Mochon]),Mo296m
"MAO, 1971-",
"Mao, Christophe",
"Mao, Tsé-Tung, 1893-1976",
"Mao, Yan, 1968-",
"Maomé, C., 570-632",
"Mapplethorpe, Robert, 1946-1989",
"Maquestieau, Konra",
"Maquetas, Washington Luiz da Costa, 1942-",
"Maquiavel, Nicolau",M297p
"Maquieira, Fernando",
"Mar, P.",
"Marabelli, Marco",
"Marabottini, A.",
"Marabotto, Paolo",
"Maracy, Heinar",
"Marafatto, Massimo",M298b e.1-2
"Maragall, Pasqual",
"Maraini, Antonio, 1886-1963",
"Maraini, Fosco",
"Maranca, Paolo",
"Marandel, J. Patrice",
"Maranesi, Fernanda",
"Marangoni Filho, Mário",
"Marangoni, Dinah Cristofoletti",M311
"Marangoni, Guido",A647m
"Marangoni, Luigi",C379m
"Marangoni, Matteo",C262m
"Marangou, Maria",
"Maranha, David, 1969-",
"Maranhão, Aluízio",
"Maranhão, Antonio Carlos Ayres",
"Maranhão, Bethânia",
"Maranhão, Haroldo, 1927-2004",M311
"Maranhão, Ricardo",
"Maranini, Lorenza",M311p
"Marañón, G.",
"Marañón, Gregorio",M311c
"Marante, Leonor",
"Maranzano, Attilio, 1954-",
Marão,
"Marar, Ton",
"Marasco, Antonio",
"Maraslis, Alexandre",
"Maratta, Carlo, 1625-1713",
Maravalhas,
"Maravalhas Júnior, Nélson, 1956-",Mn311
"Maravall, José Antônio",M311c
"Marawili, Nonggirrnga, 1937-",
"Marazov, Ivan",
"Marazzi, Paolo, 1947-",Mp311
"Marazzo, Piero",
"Marbain, Sheila, 1927-2008",M312
"Marbot, Bernard",
Marc Cely,
"Marc Gabolde, Geneviève Galliano",
"Marc, Franz, 1880-1916",
"Marc, Maria",
"Marcaccio, Fabian, 1963-",Mf313
"Marcade, Bernard",
"Marcade, Jean",
"Marcadé, Jean-Claude",
"Marçais, Georges",M313m v.1-2
"Marçal, André Tavares",
"Marçal, Iguamir Antônio Teixeira",
Marcanciel Stuprò,
Marcantonio Vilaça,
"Marca-Relli, Conrad, 1913-2000",Mr313
"Marcaro, Cristiano",
"Marcato, Claudia Scharlack",MA986mcs
"Marcatti, 1962-",
"Marcazzan, Mario, 1902-1967",
"Marcean, Henri",
"Marceau, Marcel, 1923-2007",
"Marcel, Gabriel",
"Marcel, Henry",C488m
"Marcel, Pierre",
"Márceles, Eduardo",
"Marcelino, Bruno",
"Marcelle, Cinthia, 1974-",M314
"Marcello, Bruno, 1978-",
"Marcello, Giovanni",
Marcelo Kahns,
Marcelo Lacerda Soares,
Marcelo Lima,
Marcelo Macca,
Marcelo Martins,
Marcelo Mattos Araújo,
Marcelo Mínemoto,
Marcelo Pacheco,
Marcelo Venturoli,
"Marcelo, Carlos",
"Marcenac, Jean",Lj967m
"Marcenaro, Caterina",
"Marcenaro, Giuseppe",M314g
"Marcgraf, Georg, 1610-1644",
"Marchais, Albert, 1935-",ML315
"Marchán, Simón",
"Marchand, Ana, 1947-",
"Marchand, André, 1907-1997",M315
"Marchand, Jean, 1883?-1940?",Mj315
"Marchand, Jean-José",
"Marchegiani, Elio, 1929-",M316
"Marcheix, M",
"Marchese, Giancarlo, 1931-",Mg316
"Marchese, P. L. Vinc",M316m
"Marchese, P. Vincenzo",M316s
"Marchesi, Iolanda, 1955-",
"Marchesini, Zilah",
"Marchesseau, Daniel, 1947-",
"Marchetti, Alessandro, 1633-1714",
"Marchetti, Claudia, 1966-",
"Marchezi, Fulvia",
"Marchi, Ivano",
"Marchi, Lia",M317t
"Marchi, Marguerita",Gm857m 2.ed
"Marchi, Rollj",
"Marchi, Valérie",
"Marchi, Virgilio, 1895-1960",
"Marchig, Giannino, 1897-1983",M317
"Marchini, Giuseppe",PF645m
"Marchiori, Giuseppe",C131m
"Marchiori, Laura",
"Marchis, Giorgio de",
Marcia C. de Sá Cavalcante,
Marcia Cavalcante-Schuback,
Márcia de Brito,
Marcia Fortes,
Márcia Macedo,
